Estado,Ciudad,Longitud,Latitud
Chiapas,Montecristo de Guerrero,-92.3709336,15.4138103
Chiapas,San AndrÃ©s Duraznal,-92.4817955,17.0755191
Chiapas,Santiago el Pinar,-92.4252545,16.5629177
Chiapas,CapitÃ¡n Luis Ãngel Vidal,-92.3744751,15.360406
Chiapas,RincÃ³n Chamula San Pedro,-92.5615253,17.1234095
Chiapas,El Parral,-93.002416,16.215842
Chiapas,Emiliano Zapata,-92.5348208,16.3221018
Chiapas,Mezcalapa,-93.3617184,17.1121201
Chiapas,Honduras de la Sierra,-92.2833807,15.3522788
Chihuahua,Ahumada,-106.3044695,30.3703842
Chihuahua,Aldama,-105.5440653,28.501817
Chihuahua,Allende,-105.2342276,26.5621933
Chihuahua,Aquiles SerdÃ¡n,-105.5314906,28.3540212
Chihuahua,AscensiÃ³n,-107.5945418,31.0531834
Chihuahua,BachÃ­niva,-107.1515704,28.4553034
Chihuahua,Balleza,-106.2048924,26.5714787
Chihuahua,Batopilas de Manuel GÃ³mez MorÃ­n,-107.4422956,27.0135948
Chihuahua,Bocoyna,-107.3521309,27.5026674
Chihuahua,Buenaventura,-107.2816731,29.5036271
Chihuahua,Camargo,-105.1017833,27.4141865
Chihuahua,CarichÃ­,-107.0324517,27.5459515
Chihuahua,Casas Grandes,-107.5655699,30.2232533
Chihuahua,Coronado,-105.0929923,26.4415414
Chihuahua,Coyame del Sotol,-105.0539687,29.2743354
Chihuahua,La Cruz,-105.1147,27.515
Chihuahua,CuauhtÃ©moc,-106.515776,28.2422722
Chihuahua,Cusihuiriachi,-106.5012,28.1428
Chihuahua,Chihuahua,-106.0434704,28.3812458
Chihuahua,ChÃ­nipas,-108.3210425,27.2334117
Chihuahua,Delicias,-105.2815768,28.1134613
Chihuahua,Dr. Belisario DomÃ­nguez,-106.2837309,28.09168
Chihuahua,Galeana,-107.3700279,30.0646618
Chihuahua,Santa Isabel,-106.2204996,28.2036045
Chihuahua,GÃ³mez FarÃ­as,-107.4419158,29.2125269
Chihuahua,Gran Morelos,-106.3036444,28.1452168
Chihuahua,Guachochi,-107.0409702,26.4908949
Chihuahua,Guadalupe,-106.0606313,31.2324385
Chihuahua,Guadalupe y Calvo,-106.575173,26.0540257
Chihuahua,Guazapares,-108.1647841,27.1634974
Chihuahua,Guerrero,-107.2912925,28.3253493
Chihuahua,Hidalgo del Parral,-105.4001716,26.5519516
Chihuahua,HuejotitÃ¡n,-106.1046043,27.0316812
Chihuahua,Ignacio Zaragoza,-107.4551101,29.3835564
Chihuahua,Janos,-108.1123459,30.5314127
Chihuahua,JimÃ©nez,-104.5522716,27.0749977
Chihuahua,JuÃ¡rez,-106.2906067,31.4447275
Chihuahua,Julimes,-105.255,28.2523
Chihuahua,LÃ³pez,-105.0159,27.0009
Chihuahua,Madera,-108.0829,29.1124
Chihuahua,Maguarichi,-107.5938241,27.513349
Chihuahua,Manuel Benavides,-103.5428137,29.0626591
Chihuahua,MatachÃ­,-107.4516733,28.5035622
Chihuahua,Matamoros,-105.3459988,26.4549957
Chihuahua,Meoqui,-105.2849048,28.1604068
Chihuahua,Morelos,-107.4038092,26.4013896
Chihuahua,Moris,-108.3123655,28.0854183
Chihuahua,Namiquipa,-107.2431938,29.1502736
Chihuahua,Nonoava,-106.4407196,27.2819395
Chihuahua,Nuevo Casas Grandes,-107.5443571,30.2450348
Chihuahua,Ocampo,-108.2200266,28.1137804
Chihuahua,Ojinaga,-104.2456393,29.3352202
Chihuahua,Praxedis G. Guerrero,-106.0019421,31.2219444
Chihuahua,Riva Palacio,-106.3009476,28.3245628
Chihuahua,Rosales,-105.3316,28.1113
Chihuahua,Rosario,-106.1743793,27.1910707
Chihuahua,San Francisco de Borja,-106.4105699,27.5406556
Chihuahua,San Francisco de Conchos,-105.2004709,27.3518787
Chihuahua,San Francisco del Oro,-105.5100289,26.513238
Chihuahua,Santa BÃ¡rbara,-105.4905159,26.480756
Chihuahua,SatevÃ³,-106.0625935,27.5721721
Chihuahua,Saucillo,-105.1716916,28.0157628
Chihuahua,TemÃ³sachic,-107.4947422,28.570993
Chihuahua,El Tule,-106.1558512,27.0313005
Chihuahua,Urique,-107.5451497,27.1245773
Chihuahua,Uruachi,-108.1254702,27.5204527
Chihuahua,Valle de Zaragoza,-105.4839579,27.2725674
Ciudad de MÃ©xico,Azcapotzalco,-99.1103698,19.290277
Ciudad de MÃ©xico,CoyoacÃ¡n,-99.0943724,19.210077
Ciudad de MÃ©xico,Cuajimalpa de Morelos,-99.1759252,19.2126461
Ciudad de MÃ©xico,Gustavo A. Madero,-99.0648495,19.2858603
Ciudad de MÃ©xico,Iztacalco,-99.0551406,19.2345245
Ciudad de MÃ©xico,Iztapalapa,-99.0533441,19.2132414
Ciudad de MÃ©xico,La Magdalena Contreras,-99.1429456,19.1817633
Ciudad de MÃ©xico,Milpa Alta,-99.0124139,19.1128498
Ciudad de MÃ©xico,Ãlvaro ObregÃ³n,-99.1143488,19.2326902
Ciudad de MÃ©xico,TlÃ¡huac,-99.0017446,19.1614039
Ciudad de MÃ©xico,Tlalpan,-99.1001654,19.171779
Ciudad de MÃ©xico,Xochimilco,-99.0617688,19.1548463
Ciudad de MÃ©xico,Benito JuÃ¡rez,-99.0928272,19.2219172
