Municipio,Latitud,Longitud
Guanajuato-Guanajuato,21.0057951,-101.1513037
HuanÃ­maro-Guanajuato,20.2205788,-101.294872
Irapuato-Guanajuato,20.4022085,-101.2053221
Jaral del Progreso-Guanajuato,20.223546,-101.035031
JerÃ©cuaro-Guanajuato,20.0900121,-100.3037901
LeÃ³n-Guanajuato,21.0719099,-101.4059519
MoroleÃ³n-Guanajuato,20.0754733,-101.1121151
Ocampo-Guanajuato,21.3854572,-101.2840859
PÃ©njamo-Guanajuato,20.2554461,-101.4330158
Pueblo Nuevo-Guanajuato,20.3133446,-101.2215049
PurÃ­sima del RincÃ³n-Guanajuato,21.0146485,-101.5241157
Romita-Guanajuato,20.5216374,-101.3101622
Salamanca-Guanajuato,20.340725,-101.1159695
Salvatierra-Guanajuato,20.1258023,-100.5252896
San Diego de la UniÃ³n-Guanajuato,21.2758992,-100.5223939
San Felipe-Guanajuato,21.2845609,-101.1257401
San Francisco del RincÃ³n-Guanajuato,21.0107253,-101.5130665
San JosÃ© Iturbide-Guanajuato,21.0002959,-100.2308593
San Luis de la Paz-Guanajuato,21.1755738,-100.3054452
Santa Catarina-Guanajuato,21.0823559,-100.0400887
Santa Cruz de Juventino Rosas-Guanajuato,20.3835521,-100.5938534
Santiago MaravatÃ­o-Guanajuato,20.1020665,-100.5942812
Silao de la Victoria-Guanajuato,20.5640021,-101.2534378
Tarandacuao-Guanajuato,20.0014285,-100.3058783
Tarimoro-Guanajuato,20.1718746,-100.4521391
Tierra Blanca-Guanajuato,21.0600009,-100.0932954
Uriangato-Guanajuato,20.0827642,-101.1040984
Valle de Santiago-Guanajuato,20.232876,-101.1053147
Victoria-Guanajuato,21.124382,-100.1257369
VillagrÃ¡n-Guanajuato,20.3040938,-100.594741
XichÃº-Guanajuato,21.1754988,-100.0334604
Yuriria-Guanajuato,20.1245876,-101.075136
Acapulco de JuÃ¡rez-Guerrero,16.5142721,-99.5311608
Ahuacuotzingo-Guerrero,17.425072,-98.5605668
AjuchitlÃ¡n del Progreso-Guerrero,18.0934397,-100.2945805
Alcozauca de Guerrero-Guerrero,17.2748686,-98.2301996
Alpoyeca-Guerrero,17.401223,-98.304766
Apaxtla-Guerrero,18.0748282,-99.5556329
Arcelia-Guerrero,18.185697,-100.1702227
Atenango del RÃ­o-Guerrero,18.0615635,-99.0628091
Atlamajalcingo del Monte-Guerrero,17.1841959,-98.3618307
Atlixtac-Guerrero,17.3349245,-98.5559636
Atoyac de Ãlvarez-Guerrero,17.124586,-100.2559266
Ayutla de los Libres-Guerrero,16.5755033,-99.0550582
AzoyÃº-Guerrero,16.4358657,-98.3603927
Benito JuÃ¡rez-Guerrero,17.0810931,-100.2807205
Buenavista de CuÃ©llar-Guerrero,18.2728394,-99.2419232
Coahuayutla de JosÃ© MarÃ­a Izazaga-Guerrero,18.1859022,-101.4404601
Cocula-Guerrero,18.1409119,-99.3940284
Copala-Guerrero,16.3631533,-98.5843045
Copalillo-Guerrero,18.0202945,-99.0230208
Copanatoyac-Guerrero,17.2742641,-98.4248466
Coyuca de BenÃ­tez-Guerrero,17.0032406,-100.0521722
Coyuca de CatalÃ¡n-Guerrero,18.195167,-100.4154837
Cuajinicuilapa-Guerrero,16.2819148,-98.2500281
CualÃ¡c-Guerrero,17.4433942,-98.393862
Cuautepec-Guerrero,16.445641,-99.0005564
Cuetzala del Progreso-Guerrero,18.0802909,-99.4953348
Cutzamala de PinzÃ³n-Guerrero,18.275488,-100.3442646
Chilapa de Ãlvarez-Guerrero,17.3539236,-99.1039654
Chilpancingo de los Bravo-Guerrero,17.3305938,-99.3003826
Florencio Villarreal-Guerrero,16.432597,-99.0725634
General Canuto A. Neri-Guerrero,18.2506545,-100.0419386
General Heliodoro Castillo-Guerrero,17.4722013,-99.5841944
HuamuxtitlÃ¡n-Guerrero,17.4807828,-98.3355032
Huitzuco de los Figueroa-Guerrero,18.1821528,-99.2003491
Iguala de la Independencia-Guerrero,18.2040377,-99.3218126
Igualapa-Guerrero,16.4437368,-98.2835823
Ixcateopan de CuauhtÃ©moc-Guerrero,18.3008828,-99.473685
Zihuatanejo de Azueta-Guerrero,17.3901647,-101.3253432
Juan R. Escudero-Guerrero,17.1008416,-99.3119369
Leonardo Bravo-Guerrero,17.3938887,-99.4038426
Malinaltepec-Guerrero,17.1440662,-98.4015987
MÃ¡rtir de Cuilapan-Guerrero,17.4430931,-99.1945628
MetlatÃ³noc-Guerrero,17.114334,-98.2425558
MochitlÃ¡n-Guerrero,17.2820488,-99.221666
OlinalÃ¡-Guerrero,17.4641996,-98.4428523
Ometepec-Guerrero,16.4106321,-98.2415917
Pedro Ascencio Alquisiras-Guerrero,18.3044511,-99.5313264
PetatlÃ¡n-Guerrero,17.3217544,-101.1628387
Pilcaya-Guerrero,18.4451302,-99.4034229
Pungarabato-Guerrero,18.2144182,-100.4005667
Quechultenango-Guerrero,17.2433,-99.1427
San Luis AcatlÃ¡n-Guerrero,16.4830899,-98.4401006
San Marcos-Guerrero,16.4750437,-99.2324167
San Miguel Totolapan-Guerrero,18.094056,-100.2326956
Taxco de AlarcÃ³n-Guerrero,18.3326575,-99.3616541
Tecoanapa-Guerrero,16.5919876,-99.1539155
TÃ©cpan de Galeana-Guerrero,17.1321391,-100.375656
Teloloapan-Guerrero,18.2218513,-99.5210462
Tepecoacuilco de Trujano-Guerrero,18.1713163,-99.2800099
Tetipac-Guerrero,18.3857787,-99.3856336
Tixtla de Guerrero-Guerrero,17.3400207,-99.2353777
Tlacoachistlahuaca-Guerrero,16.4835672,-98.1806296
Tlacoapa-Guerrero,17.1535814,-98.4453561
Tlalchapa-Guerrero,18.2431228,-100.2841712
Tlalixtaquilla de Maldonado-Guerrero,17.3428141,-98.2211504
Tlapa de Comonfort-Guerrero,17.3249018,-98.3455698
Tlapehuala-Guerrero,18.1423137,-100.3229667
La UniÃ³n de Isidoro Montes de Oca-Guerrero,17.58564,-101.4820465
XalpatlÃ¡huac-Guerrero,17.2815151,-98.3623217
XochihuehuetlÃ¡n-Guerrero,17.5420305,-98.2915581
Xochistlahuaca-Guerrero,16.4732725,-98.143288
ZapotitlÃ¡n Tablas-Guerrero,17.2522394,-98.4654152
ZirÃ¡ndaro-Guerrero,18.2844877,-100.5833082
Zitlala-Guerrero,17.4125226,-99.1106892
Eduardo Neri-Guerrero,17.391151,-99.3133372
Acatepec-Guerrero,17.1930788,-98.5437201
Marquelia-Guerrero,16.345993,-98.4904267
Cochoapa el Grande-Guerrero,17.1134681,-98.2719007
JosÃ© JoaquÃ­n de Herrera-Guerrero,17.2655414,-99.0127796
JuchitÃ¡n-Guerrero,16.3737454,-98.3812169
Iliatenco-Guerrero,17.0243911,-98.4108921
AcatlÃ¡n-Hidalgo,20.0845251,-98.2618139
AcaxochitlÃ¡n-Hidalgo,20.0931296,-98.1211679
Actopan-Hidalgo,20.1608709,-98.5634442
Agua Blanca de Iturbide-Hidalgo,20.2058214,-98.212299
Ajacuba-Hidalgo,20.053309,-99.0719677
Alfajayucan-Hidalgo,20.2435896,-99.2058521
Almoloya-Hidalgo,19.421195,-98.2411855
Apan-Hidalgo,19.4236,-98.2707
El Arenal-Hidalgo,20.1317126,-98.5439764
Atitalaquia-Hidalgo,20.0332957,-99.1316063
Atlapexco-Hidalgo,21.010161,-98.2053472
Atotonilco el Grande-Hidalgo,20.1712774,-98.4008622
Atotonilco de Tula-Hidalgo,20.002796,-99.1312687
Calnali-Hidalgo,20.534984,-98.3500716
Cardonal-Hidalgo,20.3648199,-99.0701448
Cuautepec de Hinojosa-Hidalgo,20.0207692,-98.1835057
Chapantongo-Hidalgo,20.1707136,-99.2447632
ChapulhuacÃ¡n-Hidalgo,21.0933904,-98.5416515
Chilcuautla-Hidalgo,20.1951462,-99.1354288
EloxochitlÃ¡n-Hidalgo,20.4448183,-98.4832907
Emiliano Zapata-Hidalgo,19.392523,-98.3250698
